ProductID,ProductName,Category,total_quantity_sold,total_revenue
2634,Mixer,Home Appliances,657,3.114825452E7
1923,Refrigerator,Home Appliances,871,4.172394425E7
4665,Cupboard,Furniture,694,3.287026128E7
4713,Football,Sports,656,3.322175258E7
1920,Gym Kit,Sports,717,3.49228427E7
3415,T-Shirt,Clothing,686,3.371176687E7
4540,Speaker,Electronics,729,3.832524482E7
1826,Tennis Racket,Sports,582,2.956630068E7
2248,Jeans,Clothing,702,3.35366091E7
246,Jeans,Clothing,691,3.415048912E7
2085,Jacket,Clothing,665,3.678619262E7
660,Refrigerator,Home Appliances,693,3.432264037E7
2944,Microwave,Home Appliances,667,3.542345141E7
402,Speaker,Electronics,674,3.501434577E7
1745,Jacket,Clothing,622,3.154555017E7
2869,Refrigerator,Home Appliances,724,3.494117942E7
954,Dictionary,Books,641,2.96296935E7
1137,Microwave,Home Appliances,621,2.896811194E7
3963,Cupboard,Furniture,676,3.438153817E7
2999,Office Desk,Furniture,618,2.915618538E7
482,Office Chair,Furniture,685,3.522281727E7
3627,Office Chair,Furniture,695,3.535573566E7
304,Data Science Book,Books,705,3.393264488E7
2628,Keyboard,Electronics,673,3.233286325E7
2794,T-Shirt,Clothing,735,3.839869067E7
2643,Laptop,Electronics,699,3.443159348E7
2405,Gym Kit,Sports,631,2.978317254E7
3859,Cupboard,Furniture,748,3.77495991E7
1692,Refrigerator,Home Appliances,607,3.016888088E7
2994,Keyboard,Electronics,588,3.215586636E7
735,Tablet,Electronics,676,3.025175825E7
909,Data Science Book,Books,627,3.260908666E7
3049,Jacket,Clothing,650,3.418741988E7
2164,Football,Sports,744,3.465959474E7
4354,Jacket,Clothing,659,3.079854218E7
2222,Sofa,Furniture,597,3.278350274E7
3795,Table,Furniture,665,3.157212056E7
3973,Refrigerator,Home Appliances,670,3.297848887E7
4345,Dictionary,Books,769,3.671179358E7
2367,Monitor,Electronics,711,3.378135261E7
771,Table,Furniture,556,2.721738782E7
2905,Monitor,Electronics,686,3.976461004E7
1815,Cupboard,Furniture,742,3.693175068E7
3237,Mobile Phone,Electronics,643,3.007899251E7
2682,Mixer,Home Appliances,710,3.548954732E7
2386,Refrigerator,Home Appliances,626,3.370310596E7
4675,Mobile Phone,Electronics,701,3.389335859E7
4163,Football,Sports,640,3.074761879E7
1371,Dictionary,Books,717,3.42779963E7
3329,Tennis Racket,Sports,674,3.668385685E7
206,Table,Furniture,602,3.161955467E7
152,Shirt,Clothing,655,3.089978344E7
783,Mouse,Electronics,713,3.369995447E7
4789,Novel,Books,720,3.384430123E7
1961,Shirt,Clothing,558,2.684805186E7
2172,Novel,Books,757,3.443496738E7
2441,Speaker,Electronics,624,3.083382445E7
3248,Novel,Books,644,3.380196731E7
1268,Novel,Books,663,3.533679377E7
871,Laptop,Electronics,529,2.468309561E7
3971,Jacket,Clothing,642,3.121596982E7
3917,Keyboard,Electronics,607,2.778205308E7
779,Laptop,Electronics,688,3.19148743E7
1148,Jacket,Clothing,565,2.713458507E7
4772,Data Science Book,Books,622,2.832120235E7
3256,Jacket,Clothing,657,3.556873171E7
2225,Cupboard,Furniture,545,2.677206699E7
1408,Washing Machine,Home Appliances,745,3.718577699E7
3794,Gym Kit,Sports,755,3.82812053E7
4925,Jacket,Clothing,614,2.861474214E7
2068,Cricket Bat,Sports,617,3.133586321E7
3550,Gym Kit,Sports,696,3.679957448E7
1417,Tennis Racket,Sports,674,3.396220648E7
1138,Laptop,Electronics,723,3.252204308E7
4462,Table,Furniture,676,3.328021796E7
298,Microwave,Home Appliances,682,3.767151635E7
560,Speaker,Electronics,665,3.478038904E7
4838,Speaker,Electronics,708,3.580082785E7
3563,Refrigerator,Home Appliances,638,3.661994954E7
518,Shirt,Clothing,712,3.121858293E7
3134,Cupboard,Furniture,704,3.397230861E7
2150,Table,Furniture,659,3.548329133E7
2897,Refrigerator,Home Appliances,460,2.130579154E7
1186,Office Desk,Furniture,679,3.614329139E7
1480,Tablet,Electronics,679,3.234066589E7
4990,Table,Furniture,643,3.510912882E7
749,Programming Book,Books,600,2.862252648E7
2891,Football,Sports,637,3.29474283E7
211,Office Chair,Furniture,657,3.249471327E7
4454,Laptop,Electronics,621,3.120010135E7
3402,Football,Sports,753,4.008671438E7
3830,Gym Kit,Sports,623,3.471863807E7
4008,Mobile Phone,Electronics,654,3.117286513E7
2249,Mouse,Electronics,611,3.326433335E7
3515,Mixer,Home Appliances,540,2.615049908E7
1915,Sofa,Furniture,693,3.523084846E7
4673,Mobile Phone,Electronics,653,3.341141175E7
2234,Mobile Phone,Electronics,633,3.410156206E7
3589,Microwave,Home Appliances,711,3.727114885E7
2571,Monitor,Electronics,599,2.780917281E7
485,Refrigerator,Home Appliances,555,2.821726741E7
122,Laptop,Electronics,641,3.189056275E7
4639,Mixer,Home Appliances,673,3.396401838E7
3918,Gym Kit,Sports,597,3.222852096E7
2410,Cupboard,Furniture,680,3.074952196E7
1239,Tablet,Electronics,637,3.368950015E7
1705,Sofa,Furniture,620,3.399378365E7
3143,Tennis Racket,Sports,655,3.250483013E7
2400,Gym Kit,Sports,707,3.413419357E7
3294,Football,Sports,658,3.31718846E7
4491,Tennis Racket,Sports,657,3.151716693E7
4182,Shirt,Clothing,809,4.365170911E7
196,Jeans,Clothing,587,2.947346266E7
878,Programming Book,Books,588,2.991451478E7
4056,Cupboard,Furniture,657,3.49088476E7
4024,Football,Sports,616,2.998445344E7
473,Mixer,Home Appliances,623,3.088280159E7
3337,Monitor,Electronics,762,4.075662857E7
4529,Mouse,Electronics,539,2.669164923E7
3742,Jacket,Clothing,757,3.781867563E7
723,Mixer,Home Appliances,828,4.16801316E7
2661,Data Science Book,Books,679,3.572362804E7
