ProductID,ProductName,Category,Price,CreatedDate
12,Data Science Book,Books,52901.24,2024-09-26
18,Washing Machine,Home Appliances,32422.38,2025-06-17
38,Refrigerator,Home Appliances,30272.39,2026-02-05
67,Novel,Books,96692.14,2025-08-01
70,Refrigerator,Home Appliances,33580.44,2026-03-22
93,Jacket,Clothing,60145.53,2026-04-22
161,Tennis Racket,Sports,73543.26,2025-04-20
186,Dictionary,Books,95466.4,2026-05-10
190,Gym Kit,Sports,47111.08,2025-06-08
218,Monitor,Electronics,47528.67,2025-11-11
225,Table,Furniture,6985.69,2025-11-06
257,Washing Machine,Home Appliances,57396.66,2025-02-27
261,Cupboard,Furniture,80070.14,2025-06-19
263,Programming Book,Books,29322.8,2025-09-04
273,Mixer,Home Appliances,95040.45,2024-11-28
275,Refrigerator,Home Appliances,70440.37,2024-10-23
280,T-Shirt,Clothing,1270.95,2024-07-08
295,Mixer,Home Appliances,96413.85,2026-01-07
300,Laptop,Electronics,45063.99,2025-03-04
317,Novel,Books,40250.3,2024-11-12
340,Sofa,Furniture,80309.8,2024-10-23
343,Office Desk,Furniture,14122.69,2025-09-09
412,Jacket,Clothing,92473.62,2024-06-14
434,Cricket Bat,Sports,52027.38,2025-10-24
439,Laptop,Electronics,9386.41,2026-01-10
443,T-Shirt,Clothing,90660.0,2026-01-08
452,Refrigerator,Home Appliances,65331.94,2026-02-23
471,Speaker,Electronics,35128.7,2025-01-07
475,Novel,Books,75300.29,2026-01-11
496,Microwave,Home Appliances,24808.6,2025-10-18
536,Mobile Phone,Electronics,45134.18,2024-06-09
581,Novel,Books,50629.9,2025-10-19
585,Sofa,Furniture,42977.08,2025-08-03
600,Tennis Racket,Sports,7337.94,2025-10-10
603,Sofa,Furniture,1812.05,2025-05-12
611,Programming Book,Books,41580.63,2025-02-26
612,Jeans,Clothing,6008.21,2025-06-11
613,Dictionary,Books,37033.98,2024-08-27
615,Monitor,Electronics,44177.55,2025-05-20
619,Cricket Bat,Sports,64616.19,2025-07-03
633,Office Desk,Furniture,48496.59,2026-01-04
640,Jeans,Clothing,19414.37,2025-06-06
641,Dictionary,Books,42858.61,2024-06-28
644,Refrigerator,Home Appliances,77566.46,2024-12-25
660,Refrigerator,Home Appliances,59060.55,2025-01-21
662,Refrigerator,Home Appliances,98217.47,2024-10-12
668,Refrigerator,Home Appliances,5466.13,2025-11-24
673,Washing Machine,Home Appliances,16997.51,2025-07-24
692,Jeans,Clothing,89031.53,2025-09-18
734,Tennis Racket,Sports,53388.46,2025-09-17
739,Cupboard,Furniture,10492.92,2026-01-26
773,Laptop,Electronics,7239.13,2025-08-09
774,Mouse,Electronics,75495.1,2025-10-28
782,Washing Machine,Home Appliances,85472.63,2025-03-11
783,Mouse,Electronics,79665.96,2026-04-27
784,Tennis Racket,Sports,35371.83,2025-04-19
802,T-Shirt,Clothing,74635.56,2024-11-12
820,Shirt,Clothing,54469.22,2024-06-19
826,Cricket Bat,Sports,33526.47,2024-09-19
835,Office Chair,Furniture,76313.36,2025-02-05
840,Jeans,Clothing,94163.64,2026-02-01
849,Table,Furniture,84267.74,2025-06-08
857,Office Desk,Furniture,620.67,2025-12-13
881,Gym Kit,Sports,17691.34,2026-05-10
912,Dictionary,Books,52881.63,2025-07-27
946,Gym Kit,Sports,55902.84,2026-01-04
947,Dictionary,Books,35604.8,2025-12-22
961,Programming Book,Books,5714.59,2024-06-08
973,Mixer,Home Appliances,97222.17,2025-01-28
980,Dictionary,Books,30041.92,2025-02-25
999,Programming Book,Books,84827.8,2025-03-31
1003,Dictionary,Books,44304.16,2025-12-28
1021,Shirt,Clothing,90721.85,2025-08-25
1030,Refrigerator,Home Appliances,89993.23,2026-04-20
1044,Jacket,Clothing,89377.75,2026-05-11
1088,Dictionary,Books,58861.5,2026-05-01
1092,Jeans,Clothing,22527.91,2025-02-01
1108,Data Science Book,Books,35106.41,2024-08-11
1160,Cricket Bat,Sports,71054.23,2025-08-31
1195,Speaker,Electronics,9681.29,2026-03-24
1229,Gym Kit,Sports,74850.78,2024-08-07
1238,Mouse,Electronics,3863.16,2025-01-14
1250,T-Shirt,Clothing,77339.82,2024-07-27
1256,Mouse,Electronics,81334.52,2025-06-14
1279,Shirt,Clothing,80928.51,2025-09-30
1283,Mobile Phone,Electronics,66299.62,2026-04-24
1314,Washing Machine,Home Appliances,34524.86,2025-05-23
1325,Dictionary,Books,95630.8,2024-07-21
1327,Washing Machine,Home Appliances,4179.21,2024-09-02
1342,Keyboard,Electronics,8990.01,2024-12-25
1345,Gym Kit,Sports,13537.46,2024-11-09
1379,Speaker,Electronics,33530.36,2026-04-04
1384,Laptop,Electronics,91960.83,2024-06-27
1385,Jeans,Clothing,70722.79,2025-07-19
1397,Dictionary,Books,23655.7,2025-02-26
1405,Novel,Books,58997.53,2026-03-21
1447,Football,Sports,93256.65,2025-05-24
1454,Jeans,Clothing,52339.92,2025-12-18
1479,T-Shirt,Clothing,20542.37,2026-04-19
1489,Gym Kit,Sports,86975.44,2024-08-21
1518,Sofa,Furniture,15754.75,2025-01-27
1521,Mixer,Home Appliances,47398.22,2025-02-24
1557,Dictionary,Books,4142.2,2026-05-18
1580,Dictionary,Books,33235.74,2026-03-23
1591,Refrigerator,Home Appliances,31594.37,2025-11-27
1609,Mobile Phone,Electronics,73653.13,2025-06-12
